SCHOOL_TITLE,CourseID,COFFERED_WITH,Sec,Crs,size,stuNo,ROOM_ID,RoomSize,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Dept,ClassSize,stuCr,Year,Semester,Level,SemesterNo,
SETS,CSE309,"CSE309,CSC455,CEN455",2,3,35,19,CSCLab4-S,35,-1,Web Application & Internet,4349-MS Shama Hoque,8:00,9:30,MW,CSE,19,57,2019,Autumn,,3,
SETS,CSE310,"CSE310,CEN310",1,3,45,38,BC6008-S,50,-1,Electronics II,4248-DR Satyen Biswas,15:20,16:50,ST,CSE,38,114,2019,Autumn,,3,
SETS,CSE310,"CSE310,CEN310",2,3,45,32,BC6009-S,50,-1,Electronics II,4285-DR Ferdows Zahid,13:40,15:10,MW,CSE,32,96,2019,Autumn,,3,
SETS,CSE310L,"CSE310L,CEN310L",1,1,38,38,CENLAB-S,45,0,Labwork based on CSE 310,4406-MR Mohammad Rejwan Uddin,13:40,15:10,T,CSE,38,38,2019,Autumn,,3,
SETS,CSE310L,"CSE310L,CEN310L",2,1,37,32,CENLAB-S,45,-1,Labwork based on CSE 310,4285-DR Ferdows Zahid,15:20,16:50,M,CSE,32,32,2019,Autumn,,3,
SETS,CSE313,"CSE313,CSC411",1,3,40,26,BC6012-S,50,-1,Compiler Construction,4362-MR Bijoy Rahman Arif,15:20,16:50,ST,CSE,26,78,2019,Autumn,,3,
SETS,CSE313,"CSE313,CSC411",2,3,45,0,BC6007-S,50,B-0,Compiler Construction,T001-00 TBA TBA,15:20,16:50,MW,CSE,,0,2019,Autumn,,3,
SETS,CSE315,"CSE315,CSC413,CEN413",1,3,45,31,BC6012-S,50,-1,Design of Operating System,4137-MR Mohammad Noor Nabi,17:00,18:30,ST,CSE,31,93,2019,Autumn,,3,
SETS,CSE315,"CSE315,CSC413,CEN413",2,3,45,0,BC6008-S,50,B-0,Design of Operating System,4362-MR Bijoy Rahman Arif,15:20,16:50,MW,CSE,,0,2019,Autumn,,3,
SETS,CSE316,"CSE316,CSC430,CEN430",1,3,42,41,BC7026-S,50,-1,Data Communication & Computer Networks,4382-DR Tarem Ahmed,11:20,12:50,ST,CSE,41,123,2019,Autumn,,3,
SETS,CSE316,"CSE316,CSC430,CEN430",2,3,44,43,BC6013-S,50,-1,Data Communication & Computer Networks,4382-DR Tarem Ahmed,13:40,15:10,ST,CSE,43,129,2019,Autumn,,3,
SETS,CSE316,"CSE316,CSC430,CEN430",3,3,41,40,BC5014-S,50,-1,Data Communication & Computer Networks,4416-MR Md. Fahad Monir,17:00,18:30,ST,CSE,40,120,2019,Autumn,,3,
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",1,1,42,41,CSCLab2-S,30,0,Labwork based on CSE 316,4382-DR Tarem Ahmed,11:20,12:50,R,CSE,41,41,2019,Autumn,,3,
